MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,68,7.472232|7.000000|1.000000,0.02666783332824707,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,55190958080.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,69,7.472232|7.000000|1.000000,0.026012420654296875,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,49937465344.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,70,7.472232|7.000000|1.000000,0.026592016220092773,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,79211806720.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,71,7.472232|7.000000|1.000000,0.02741837501525879,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,57060655104.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,72,7.472232|7.000000|1.000000,0.025454998016357422,7.0,8.967032|7.000000|1.000000,7.472232|7.000000|1.000000,8.967032|7.000000|1.000000,7,102199246848.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,73,6.513846|7.000000|2.000000,0.026211261749267578,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,98927960064.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,74,6.513846|7.000000|2.000000,0.027692556381225586,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,81272250368.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,75,6.513846|7.000000|2.000000,0.026189804077148438,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,92768256000.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,76,6.513846|7.000000|2.000000,0.02553415298461914,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,77878444032.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,77,6.513846|7.000000|2.000000,0.02662372589111328,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,58784399360.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,78,6.513846|7.000000|2.000000,0.02637481689453125,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,100667113472.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,79,6.513846|7.000000|2.000000,0.026721715927124023,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,68052815872.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,80,6.513846|7.000000|2.000000,0.02689838409423828,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,109801398272.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,81,6.513846|7.000000|2.000000,0.026586294174194336,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,82878750720.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,82,6.513846|7.000000|2.000000,0.02580881118774414,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,78992285696.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,83,6.513846|7.000000|2.000000,0.026535749435424805,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,47684165632.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,84,6.513846|7.000000|2.000000,0.026265382766723633,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,81643028480.000000,N/A,2,5
