MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,88,9.489357|3.000000|0.000000,9.470148086547852,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,89,9.489357|3.000000|0.000000,9.729170799255371,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,90,9.489357|3.000000|0.000000,9.314168214797974,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,91,9.489357|3.000000|0.000000,9.55699110031128,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,92,9.489357|3.000000|0.000000,9.48962116241455,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,93,9.489357|3.000000|0.000000,9.332816123962402,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,94,9.489357|3.000000|0.000000,9.562241077423096,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,95,9.489357|3.000000|0.000000,9.438151121139526,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,96,9.489357|3.000000|0.000000,9.425285816192627,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,97,9.489357|3.000000|0.000000,9.66928505897522,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,98,9.489357|3.000000|0.000000,9.591502904891968,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,99,9.489357|3.000000|0.000000,9.742291927337646,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,100,9.489357|3.000000|0.000000,9.426440238952637,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,101,9.489357|3.000000|0.000000,9.318429946899414,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,102,9.489357|3.000000|0.000000,9.392142057418823,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,103,9.489357|3.000000|0.000000,9.647287130355835,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,104,9.489357|3.000000|0.000000,9.398168087005615,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,105,9.489357|3.000000|0.000000,9.389555931091309,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,106,9.489357|3.000000|0.000000,9.479572057723999,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,107,9.489357|3.000000|0.000000,9.50751519203186,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,108,9.489357|3.000000|0.000000,9.419274091720581,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,109,9.489357|3.000000|0.000000,9.774245977401733,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,110,9.489357|3.000000|0.000000,9.445984840393066,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,111,9.489357|3.000000|0.000000,9.422358989715576,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,112,9.489357|3.000000|0.000000,9.272403240203857,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,113,9.489357|3.000000|0.000000,9.388296127319336,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,114,9.489357|3.000000|0.000000,9.70076608657837,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,115,9.489357|3.000000|0.000000,9.498228073120117,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,116,9.489357|3.000000|0.000000,9.478340864181519,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,117,9.489357|3.000000|0.000000,9.474920988082886,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,118,9.489357|3.000000|0.000000,9.37855577468872,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
MOGP_NSGAII,caab267c-e80c-11f0-a37d-6e001b3eef54,Cooling,74,119,9.489357|3.000000|0.000000,9.275490045547485,3.0,9.577792|3.000000|0.000000,4.943788|3.000000|1.000000,3,0.361426,N/A,5
