MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,78,4.541265|3.000000,0.01931476593017578,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,85917188096.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,79,4.541265|3.000000,0.019129514694213867,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,99497140224.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,80,4.541265|3.000000,0.019120454788208008,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,60207501312.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,81,4.541265|3.000000,0.020159244537353516,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,115054821376.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,82,4.541265|3.000000,0.018534421920776367,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,82528583680.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,83,4.541265|3.000000,0.019300460815429688,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,65882513408.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,84,4.541265|3.000000,0.019411325454711914,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,99498721280.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,85,4.541265|3.000000,0.020955801010131836,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,127617056768.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,86,4.541265|3.000000,0.019954681396484375,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,97004953600.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,87,4.541265|3.000000,0.019123315811157227,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,70533439488.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,88,4.541265|3.000000,0.018720388412475586,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,114974605312.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,89,4.541265|3.000000,0.0189056396484375,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,120370143232.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,90,4.541265|3.000000,0.018967628479003906,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,53371207680.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,91,4.541265|3.000000,0.020001649856567383,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,80661856256.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,92,4.541265|3.000000,0.019944429397583008,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,120541880320.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,93,4.541265|3.000000,0.018845319747924805,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,51552690176.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,94,4.541265|3.000000,0.018880605697631836,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,116985208832.000000,N/A,1,5
