MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,86,4.610571|3.000000,5.219393014907837,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,87,4.610571|3.000000,5.184496164321899,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,88,4.610571|3.000000,5.070901155471802,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,89,4.610571|3.000000,5.090646743774414,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,90,4.610571|3.000000,5.162889242172241,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,91,4.610571|3.000000,4.944134712219238,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,92,4.610571|3.000000,5.1512227058410645,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,93,4.610571|3.000000,5.0531089305877686,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,94,4.610571|3.000000,5.101539134979248,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,95,4.610571|3.000000,5.1764562129974365,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,96,4.610571|3.000000,5.117526054382324,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,97,4.610571|3.000000,5.258086204528809,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
