MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,87,7.201349|7.000000|2.000000,0.025840044021606445,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,83894353920.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,88,7.201349|7.000000|2.000000,0.026484012603759766,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,65438801920.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,89,7.201349|7.000000|2.000000,0.02656722068786621,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,101851488256.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,90,7.201349|7.000000|2.000000,0.02581000328063965,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,53904338944.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,91,7.201349|7.000000|2.000000,0.027606964111328125,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,97306337280.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,92,7.201349|7.000000|2.000000,0.02620720863342285,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,29786093568.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,93,7.201349|7.000000|2.000000,0.026213407516479492,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,41955127296.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,94,7.201349|7.000000|2.000000,0.026788949966430664,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,70964232192.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,95,7.201349|7.000000|2.000000,0.026495695114135742,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,53345320960.000000,N/A,2,5
MOGP_GENERATIONAL,8db56de0-157a-11f1-9378-303ea725c124,Boston,74,96,7.201349|7.000000|2.000000,0.028321504592895508,7.0,6.853476|7.000000|2.000000,7.201349|7.000000|2.000000,6.853476|7.000000|2.000000,7,118513836032.000000,N/A,2,5
