MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,66,4.585071|3.000000,0.018946170806884766,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,85424750592.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,67,4.585071|3.000000,0.020473480224609375,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,82556182528.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,68,4.585071|3.000000,0.019168376922607422,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,78459232256.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,69,4.585071|3.000000,0.019005298614501953,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,98990546944.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,70,4.585071|3.000000,0.019225358963012695,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,96206045184.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,71,4.585071|3.000000,0.0192263126373291,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,101110480896.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,72,4.585071|3.000000,0.01963496208190918,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,98263908352.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,73,4.585071|3.000000,0.019896984100341797,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,84068491264.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,74,4.585071|3.000000,0.01983642578125,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,86409707520.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,75,4.585071|3.000000,0.02002716064453125,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,111387754496.000000,N/A,1,5
