MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,108,4.633979|3.000000,5.388877868652344,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,109,4.633979|3.000000,5.401253700256348,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,110,4.633979|3.000000,5.301084995269775,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,111,4.633979|3.000000,5.3330748081207275,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,112,4.633979|3.000000,5.3619890213012695,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,113,4.633979|3.000000,5.202469825744629,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,114,4.633979|3.000000,5.3254711627960205,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,115,4.633979|3.000000,5.327473878860474,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,116,4.633979|3.000000,5.239795923233032,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,117,4.633979|3.000000,5.481974124908447,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
MOGP_NSGAII,7d88c426-e99c-11f0-97f1-6e001b3eef54,Cooling,74,118,4.633979|3.000000,5.323309898376465,3.0,4.337965|3.000000,4.343221|7.000000,7,0.000917,N/A,5
