MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,102,4.598747|3.000000,0.01941514015197754,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,92773720064.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,103,4.598747|3.000000,0.019434690475463867,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,118443991040.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,104,4.598747|3.000000,0.019725322723388672,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,106005012480.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,105,4.598747|3.000000,0.01985025405883789,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,92642172928.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,106,4.598747|3.000000,0.019550800323486328,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,61941575680.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,107,4.598747|3.000000,0.01900506019592285,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,109643898880.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,108,4.598747|3.000000,0.018852710723876953,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,61296316416.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,109,4.598747|3.000000,0.019314050674438477,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,102367477760.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,110,4.598747|3.000000,0.02027583122253418,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,98103345152.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,111,4.598747|3.000000,0.020175457000732422,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,120890572800.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,112,4.598747|3.000000,0.019687414169311523,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,100232183808.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,113,4.598747|3.000000,0.018903732299804688,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,83312672768.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,114,4.598747|3.000000,0.01876974105834961,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,86305292288.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,115,4.598747|3.000000,0.01916956901550293,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,50042286080.000000,N/A,1,5
MOGP_GENERATIONAL,3d9e0b94-145a-11f1-9378-303ea725c124,Cooling,74,116,4.598747|3.000000,0.018841981887817383,3.0,4.424264|3.000000,4.598747|3.000000,4.424264|3.000000,3,90816438272.000000,N/A,1,5
