MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,103,4.484513|3.000000,5.3683459758758545,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,104,4.484513|3.000000,5.2443389892578125,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,105,4.484513|3.000000,5.147053956985474,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,106,4.484513|3.000000,5.359659194946289,3.0,4.688949|3.000000,4.633515|7.000000,7,0.005150,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,107,4.484513|3.000000,5.129711151123047,3.0,4.688949|3.000000,4.278947|7.000000,7,0.033278,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,108,4.484513|3.000000,5.462619066238403,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,109,4.484513|3.000000,5.510655879974365,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,110,4.484513|3.000000,5.300664901733398,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,111,4.484513|3.000000,5.293708086013794,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,112,4.484513|3.000000,5.612379312515259,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,113,4.484513|3.000000,5.374458074569702,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,114,4.484513|3.000000,5.125489234924316,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,115,4.484513|3.000000,5.424639940261841,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,116,4.484513|3.000000,5.3307600021362305,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,117,4.484513|3.000000,5.465106248855591,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,118,4.484513|3.000000,5.3550660610198975,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,119,4.484513|3.000000,5.325421094894409,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,120,4.484513|3.000000,5.212646961212158,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,121,4.484513|3.000000,5.413808107376099,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
