MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,74,2152.517090|7.000000|1.000000,0.12733030319213867,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,71558012928.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,75,2152.517090|7.000000|1.000000,0.12921643257141113,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,46250500096.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,76,2152.517090|7.000000|1.000000,0.1275346279144287,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,34518265856.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,77,2152.517090|7.000000|1.000000,0.1267857551574707,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,49421729792.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,78,2152.517090|7.000000|1.000000,0.11751198768615723,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,83724738560.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,79,2152.517090|7.000000|1.000000,0.12324166297912598,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,50378448896.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,80,2152.517090|7.000000|1.000000,0.12356948852539062,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,35317996.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,81,2152.517090|7.000000|1.000000,0.11005520820617676,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,71761707008.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,82,2152.517090|7.000000|1.000000,0.12571287155151367,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,23000913920.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,83,2152.517090|7.000000|1.000000,0.12678027153015137,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,75325341696.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,84,2152.517090|7.000000|1.000000,0.11345529556274414,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,23005083648.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,85,2152.517090|7.000000|1.000000,0.10398721694946289,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,40693899264.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,86,2152.517090|7.000000|1.000000,0.12574481964111328,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,68013477888.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,87,2152.517090|7.000000|1.000000,0.11670470237731934,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,10841317376.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,88,2152.517090|7.000000|1.000000,0.13173842430114746,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,61091524608.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,89,2152.517090|7.000000|1.000000,0.11061215400695801,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,60104081408.000000,N/A,5
MOGP_GENERATIONAL,81cbea98-eb2c-11f0-91b8-abba54e20bb3,Toxicity,74,90,2152.517090|7.000000|1.000000,0.12133479118347168,7.0,1654.573120|7.000000|1.000000,2152.517090|7.000000|1.000000,1654.573120|7.000000|1.000000,7,84802863104.000000,N/A,5
