MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,85,4.507786|3.000000|1.000000,0.026485919952392578,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,22539137024.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,86,4.507786|3.000000|1.000000,0.026129484176635742,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,69408301056.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,87,4.507786|3.000000|1.000000,0.028133630752563477,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,86277701632.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,88,4.507786|3.000000|1.000000,0.02662515640258789,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,83301629952.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,89,4.507786|3.000000|1.000000,0.02738499641418457,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,69114028032.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,90,4.507786|3.000000|1.000000,0.026457548141479492,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,84955103232.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,91,4.507786|3.000000|1.000000,0.026837587356567383,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,87120117760.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,92,4.507786|3.000000|1.000000,0.026932239532470703,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,70533685248.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,93,4.507786|3.000000|1.000000,0.026775121688842773,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,98614.804688,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,94,4.507786|3.000000|1.000000,0.027161836624145508,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,45672296448.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,95,4.507786|3.000000|1.000000,0.0273895263671875,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,105487196160.000000,N/A,2,5
MOGP_GENERATIONAL,7e6ecfa8-1448-11f1-9378-303ea725c124,Cooling,74,96,4.507786|3.000000|1.000000,0.02703094482421875,3.0,4.636782|3.000000|1.000000,4.507786|3.000000|1.000000,4.636782|3.000000|1.000000,3,119332618240.000000,N/A,2,5
