MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,70,4.577525|3.000000|1.000000,0.027863025665283203,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,137068756992.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,71,4.577525|3.000000|1.000000,0.026035785675048828,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,111220776960.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,72,4.577525|3.000000|1.000000,0.025974273681640625,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,107554013184.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,73,4.577525|3.000000|1.000000,0.027701377868652344,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,127986868224.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,74,4.577525|3.000000|1.000000,0.028115272521972656,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,139997315072.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,75,4.577525|3.000000|1.000000,0.0254366397857666,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,62307311616.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,76,4.577525|3.000000|1.000000,0.02676224708557129,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,65672142848.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,77,4.577525|3.000000|1.000000,0.027423381805419922,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,87396728832.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,78,4.577525|3.000000|1.000000,0.027587175369262695,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,117191548928.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,79,4.577525|3.000000|1.000000,0.026864051818847656,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,99498942464.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,80,4.577525|3.000000|1.000000,0.0278317928314209,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,93316210688.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,81,4.577525|3.000000|1.000000,0.026285171508789062,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,128230998016.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,82,4.577525|3.000000|1.000000,0.02651691436767578,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,111676309504.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,83,4.577525|3.000000|1.000000,0.027521371841430664,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,115842244608.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,84,4.577525|3.000000|1.000000,0.027027368545532227,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,82360590336.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,85,4.577525|3.000000|1.000000,0.026608943939208984,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,78634352640.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,86,4.577525|3.000000|1.000000,0.02640843391418457,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,118180061184.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,87,4.577525|3.000000|1.000000,0.028085947036743164,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,94900830208.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,88,4.577525|3.000000|1.000000,0.026200294494628906,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,89,4.577525|3.000000|1.000000,0.027492523193359375,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,68983332864.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,90,4.577525|3.000000|1.000000,0.02615952491760254,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,91,4.577525|3.000000|1.000000,0.026959657669067383,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,97414332416.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,92,4.577525|3.000000|1.000000,0.026994943618774414,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,23837044736.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,93,4.577525|3.000000|1.000000,0.02652907371520996,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,1418422.750000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,94,4.577525|3.000000|1.000000,0.027322053909301758,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,96949166080.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,95,4.577525|3.000000|1.000000,0.026867389678955078,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,48528146432.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,96,4.577525|3.000000|1.000000,0.02716374397277832,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,121021546496.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,97,4.577525|3.000000|1.000000,0.026506423950195312,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,70533308416.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,98,4.577525|3.000000|1.000000,0.06310391426086426,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,60993585152.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,99,4.577525|3.000000|1.000000,0.026354551315307617,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,96847462400.000000,N/A,2,5
MOGP_GENERATIONAL,4b1b4508-1517-11f1-9378-303ea725c124,Cooling,74,100,4.577525|3.000000|1.000000,0.02624225616455078,3.0,4.475134|3.000000|1.000000,4.577525|3.000000|1.000000,4.475134|3.000000|1.000000,3,49973436416.000000,N/A,2,5
