MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,90,7.334017|7.000000|2.000000,0.026087284088134766,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,78768209920.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,91,7.334017|7.000000|2.000000,0.027868032455444336,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,103501447168.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,92,7.334017|7.000000|2.000000,0.026889801025390625,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,64197644288.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,93,7.334017|7.000000|2.000000,0.026211023330688477,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,57846079488.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,94,7.334017|7.000000|2.000000,0.02715277671813965,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,66855735296.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,95,7.334017|7.000000|2.000000,0.027204275131225586,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,83787849728.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,96,7.334017|7.000000|2.000000,0.027508258819580078,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,99301531648.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,97,7.334017|7.000000|2.000000,0.02745819091796875,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,45124476928.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,98,7.334017|7.000000|2.000000,0.02618241310119629,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,59493007360.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,99,7.334017|7.000000|2.000000,0.026380300521850586,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,61138821120.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,100,7.334017|7.000000|2.000000,0.026392698287963867,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,65113366528.000000,N/A,2,5
MOGP_GENERATIONAL,96d9061a-1481-11f1-9378-303ea725c124,Boston,74,101,7.334017|7.000000|2.000000,0.026436328887939453,7.0,6.517593|7.000000|2.000000,7.334017|7.000000|2.000000,6.517593|7.000000|2.000000,7,54247841792.000000,N/A,2,5
