MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,90,2033.626953|7.000000,0.021454334259033203,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,97189609472.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,91,2033.626953|7.000000,0.023247718811035156,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,68670214144.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,92,2033.626953|7.000000,0.02259039878845215,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,78750040064.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,93,2033.626953|7.000000,0.022017240524291992,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,18853675008.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,94,2033.626953|7.000000,0.022921085357666016,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,59352027136.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,95,2033.626953|7.000000,0.021572589874267578,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,194.052200,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,96,2033.626953|7.000000,0.021970748901367188,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,36313931776.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,97,2033.626953|7.000000,0.02203655242919922,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,40556847104.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,98,2033.626953|7.000000,0.022341012954711914,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,3916526592.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,99,2033.626953|7.000000,0.022306203842163086,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,34465583104.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,100,2033.626953|7.000000,0.021329164505004883,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,49400377344.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,101,2033.626953|7.000000,0.021448850631713867,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,49637191680.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,102,2033.626953|7.000000,0.02164292335510254,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,114239168.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,103,2033.626953|7.000000,0.02195429801940918,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,71443914752.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,104,2033.626953|7.000000,0.021382808685302734,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,37281570816.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,105,2033.626953|7.000000,0.02060723304748535,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,535277536.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,106,2033.626953|7.000000,0.021860599517822266,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,48858509312.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,107,2033.626953|7.000000,0.02258777618408203,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,62422302720.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,108,2033.626953|7.000000,0.021002769470214844,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,70316998656.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,109,2033.626953|7.000000,0.02107095718383789,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,6893293568.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,110,2033.626953|7.000000,0.021307706832885742,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,20284.732422,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,111,2033.626953|7.000000,0.02089238166809082,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,29471344640.000000,N/A,2,5
MOGP_GENERATIONAL,7f689678-14ca-11f1-9378-303ea725c124,Toxicity,74,112,2033.626953|7.000000,0.022243738174438477,7.0,2024.425293|7.000000,2033.626953|7.000000,2024.425293|7.000000,7,35709906944.000000,N/A,2,5
