MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,74,4.448025|3.000000|1.000000,0.027580738067626953,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,106114842624.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,75,4.448025|3.000000|1.000000,0.02569270133972168,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,48378736640.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,76,4.448025|3.000000|1.000000,0.026778459548950195,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,94177705984.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,77,4.448025|3.000000|1.000000,0.02762126922607422,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,78187552768.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,78,4.448025|3.000000|1.000000,0.027461528778076172,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,144048603136.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,79,4.448025|3.000000|1.000000,0.026793718338012695,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,78245437440.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,80,4.448025|3.000000|1.000000,0.027790069580078125,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,126218657792.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,81,4.448025|3.000000|1.000000,0.02620220184326172,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,85391712256.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,82,4.448025|3.000000|1.000000,0.026837587356567383,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,63438450688.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,83,4.448025|3.000000|1.000000,0.027573823928833008,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,116871323648.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,84,4.448025|3.000000|1.000000,0.026854515075683594,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,65312448512.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,85,4.448025|3.000000|1.000000,0.02690601348876953,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,85457330176.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,86,4.448025|3.000000|1.000000,0.02643609046936035,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,99498721280.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,87,4.448025|3.000000|1.000000,0.028044939041137695,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,118751674368.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,88,4.448025|3.000000|1.000000,0.026297569274902344,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,106113736704.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,89,4.448025|3.000000|1.000000,0.027417421340942383,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,103750090752.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,90,4.448025|3.000000|1.000000,0.026285409927368164,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,49937645568.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,91,4.448025|3.000000|1.000000,0.027070283889770508,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,85388992512.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,92,4.448025|3.000000|1.000000,0.026998281478881836,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,65741529088.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,93,4.448025|3.000000|1.000000,0.026647090911865234,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,98731573248.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,94,4.448025|3.000000|1.000000,0.02735280990600586,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,150532096000.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,95,4.448025|3.000000|1.000000,0.026970386505126953,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,99992485888.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,96,4.448025|3.000000|1.000000,0.0270383358001709,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,100227244032.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,97,4.448025|3.000000|1.000000,0.026495695114135742,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,70596861952.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,98,4.448025|3.000000|1.000000,0.02645134925842285,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,99498762240.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,99,4.448025|3.000000|1.000000,0.02635788917541504,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,96242425856.000000,N/A,2,5
MOGP_GENERATIONAL,dd3d884a-153c-11f1-9378-303ea725c124,Cooling,74,100,4.448025|3.000000|1.000000,0.02602362632751465,3.0,4.769059|3.000000|1.000000,4.448025|3.000000|1.000000,4.769059|3.000000|1.000000,3,60653555712.000000,N/A,2,5
