MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,96,3.868472|7.000000,0.019406795501708984,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,131843883008.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,97,3.868472|7.000000,0.019208192825317383,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,12520670208.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,98,3.868472|7.000000,0.018660545349121094,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,110369300480.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,99,3.868472|7.000000,0.018944501876831055,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,93433004032.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,100,3.868472|7.000000,0.020433664321899414,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,118308945920.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,101,3.868472|7.000000,0.01880478858947754,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,110521704448.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,102,3.868472|7.000000,0.019428730010986328,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,66232598528.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,103,3.868472|7.000000,0.01935887336730957,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,116889976832.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,104,3.868472|7.000000,0.01941227912902832,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,128893165568.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,105,3.868472|7.000000,0.019927501678466797,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,96286777344.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,106,3.868472|7.000000,0.019756317138671875,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,103887814656.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,107,3.868472|7.000000,0.018209218978881836,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,70534193152.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,108,3.868472|7.000000,0.01868271827697754,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,106033577984.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,109,3.868472|7.000000,0.019221067428588867,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,92874.312500,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,110,3.868472|7.000000,0.020255565643310547,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,100258668544.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,111,3.868472|7.000000,0.01996326446533203,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,66389667840.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,112,3.868472|7.000000,0.020167827606201172,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,139233361920.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,113,3.868472|7.000000,0.018611669540405273,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,93880631296.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,114,3.868472|7.000000,0.018865108489990234,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,102143025152.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,115,3.868472|7.000000,0.019147634506225586,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,108465807360.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,116,3.868472|7.000000,0.018959999084472656,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,90144628736.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,117,3.868472|7.000000,0.01912665367126465,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,35740938240.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,118,3.868472|7.000000,0.019401073455810547,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,106114883584.000000,N/A,2,5
MOGP_GENERATIONAL,38dad946-143e-11f1-9378-303ea725c124,Cooling,74,119,3.868472|7.000000,0.02006363868713379,7.0,4.178897|7.000000,3.868472|7.000000,4.178897|7.000000,7,78269407232.000000,N/A,2,5
