MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,45,7.700258|23.000000|3.000000,0.02664041519165039,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,92015140864.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,46,7.700258|23.000000|3.000000,0.027294635772705078,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,88405803008.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,47,7.700258|23.000000|3.000000,0.026834726333618164,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,110584471552.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,48,7.700258|23.000000|3.000000,0.02642369270324707,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,75304550400.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,49,7.700258|23.000000|3.000000,0.026726245880126953,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,104088616960.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,50,7.700258|23.000000|3.000000,0.026772499084472656,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,29313540096.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,51,7.700258|23.000000|3.000000,0.026882648468017578,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,72539095040.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,52,7.700258|23.000000|3.000000,0.026426076889038086,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,70597066752.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,53,7.700258|23.000000|3.000000,0.02686166763305664,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,101635776512.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,54,7.700258|23.000000|3.000000,0.02631998062133789,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,33287540736.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,55,7.700258|23.000000|3.000000,0.026033401489257812,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,19281776640.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,56,7.700258|23.000000|3.000000,0.02738165855407715,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,63782055936.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,57,7.700258|23.000000|3.000000,0.026317596435546875,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,57491501056.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,58,7.700258|23.000000|3.000000,0.027008056640625,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,104659443712.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,59,7.700258|23.000000|3.000000,0.027431249618530273,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,58688221184.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,60,7.700258|23.000000|3.000000,0.026161909103393555,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,69675589632.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,61,7.700258|23.000000|3.000000,0.026770830154418945,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,83393773568.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,62,7.700258|23.000000|3.000000,0.02662372589111328,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,70674923520.000000,N/A,2,5
