MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,68,7.684467|7.000000|1.000000,0.026315689086914062,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,70233866240.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,69,7.684467|7.000000|1.000000,0.026248455047607422,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,56344539136.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,70,7.684467|7.000000|1.000000,0.02702641487121582,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,53084815360.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,71,7.684467|7.000000|1.000000,0.026966571807861328,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,86613729280.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,72,7.684467|7.000000|1.000000,0.02530837059020996,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,51581669376.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,73,7.684467|7.000000|1.000000,0.026414871215820312,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,40544354304.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,74,7.684467|7.000000|1.000000,0.02734208106994629,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,105647824896.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,75,7.684467|7.000000|1.000000,0.026260852813720703,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,51774025728.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,76,7.684467|7.000000|1.000000,0.02553558349609375,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,71085686784.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,77,7.684467|7.000000|1.000000,0.026829242706298828,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,94057431040.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,78,7.684467|7.000000|1.000000,0.026410818099975586,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,92402843648.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,79,7.684467|7.000000|1.000000,0.026272296905517578,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,81069719552.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,80,7.684467|7.000000|1.000000,0.027082204818725586,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,96128901120.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,81,7.684467|7.000000|1.000000,0.026780128479003906,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,58378485760.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,82,7.684467|7.000000|1.000000,0.02601766586303711,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,70718865408.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,83,7.684467|7.000000|1.000000,0.02670145034790039,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,84550025216.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,84,7.684467|7.000000|1.000000,0.026763916015625,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,72772501504.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,85,7.684467|7.000000|1.000000,0.027522802352905273,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,112370073600.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,86,7.684467|7.000000|1.000000,0.025861024856567383,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,69023154176.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,87,7.684467|7.000000|1.000000,0.025462865829467773,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,55419162624.000000,N/A,2,5
MOGP_GENERATIONAL,24309312-13f0-11f1-9378-303ea725c124,Boston,74,88,7.684467|7.000000|1.000000,0.0267179012298584,7.0,8.539083|7.000000|1.000000,7.684467|7.000000|1.000000,8.539083|7.000000|1.000000,7,102060621824.000000,N/A,2,5
