MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,117,4.559990|3.000000,5.009790897369385,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,118,4.559990|3.000000,4.956489324569702,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,119,4.559990|3.000000,4.898564100265503,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,120,4.559990|3.000000,5.057283163070679,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,121,4.559990|3.000000,5.257483005523682,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,122,4.559990|3.000000,5.17886209487915,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,123,4.559990|3.000000,4.959582328796387,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,124,4.559990|3.000000,5.052673816680908,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,125,4.559990|3.000000,4.95599102973938,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
MOGP_NSGAII,a30549ec-ea1c-11f0-a117-6e001b3eef54,Cooling,74,126,4.559990|3.000000,4.945537090301514,3.0,4.516559|3.000000,3.796107|9.000000,9,0.040604,N/A,5
