MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,100,4.337151|3.000000,0.019847393035888672,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,78173847552.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,101,4.337151|3.000000,0.018650293350219727,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,102100410368.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,102,4.337151|3.000000,0.019042491912841797,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,65987792896.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,103,4.337151|3.000000,0.019961833953857422,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,125153574912.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,104,4.337151|3.000000,0.019390344619750977,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,100676698112.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,105,4.337151|3.000000,0.019734621047973633,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,1220523136.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,106,4.337151|3.000000,0.019527196884155273,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,102578421760.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,107,4.337151|3.000000,0.01811504364013672,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,108,4.337151|3.000000,0.01890397071838379,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,58630787072.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,109,4.337151|3.000000,0.01916670799255371,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,84177362944.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,110,4.337151|3.000000,0.0204315185546875,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,103172964352.000000,N/A,1,5
MOGP_GENERATIONAL,2d9d342a-1529-11f1-9378-303ea725c124,Cooling,74,111,4.337151|3.000000,0.019831418991088867,3.0,5.000828|3.000000,4.337151|3.000000,5.000828|3.000000,3,96405217280.000000,N/A,1,5
