MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,73,4.565099|3.000000|1.000000,0.026496410369873047,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,83529228288.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,74,4.565099|3.000000|1.000000,0.02755451202392578,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,99323854848.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,75,4.565099|3.000000|1.000000,0.025362014770507812,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,95012839424.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,76,4.565099|3.000000|1.000000,0.02698493003845215,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,71581097984.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,77,4.565099|3.000000|1.000000,0.027477264404296875,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,92393873408.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,78,4.565099|3.000000|1.000000,0.02826094627380371,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,128801316864.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,79,4.565099|3.000000|1.000000,0.02717900276184082,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,73442705408.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,80,4.565099|3.000000|1.000000,0.02732539176940918,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,129268244480.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,81,4.565099|3.000000|1.000000,0.02696990966796875,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,114104623104.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,82,4.565099|3.000000|1.000000,0.02662801742553711,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,98753863680.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,83,4.565099|3.000000|1.000000,0.027539968490600586,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,84,4.565099|3.000000|1.000000,0.027154207229614258,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,106480959488.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,85,4.565099|3.000000|1.000000,0.026757001876831055,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,85416067072.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,86,4.565099|3.000000|1.000000,0.026254892349243164,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,93143138304.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,87,4.565099|3.000000|1.000000,0.028005361557006836,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,114978955264.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,88,4.565099|3.000000|1.000000,0.0264127254486084,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,142552989696.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,89,4.565099|3.000000|1.000000,0.02730250358581543,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,111042363392.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,90,4.565099|3.000000|1.000000,0.02625584602355957,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,96627777536.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,91,4.565099|3.000000|1.000000,0.02724933624267578,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,82667511808.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,92,4.565099|3.000000|1.000000,0.026903152465820312,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,70534455296.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,93,4.565099|3.000000|1.000000,0.02660226821899414,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,86278545408.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,94,4.565099|3.000000|1.000000,0.02730250358581543,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,93993066496.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,95,4.565099|3.000000|1.000000,0.026787757873535156,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,99501998080.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,96,4.565099|3.000000|1.000000,0.027161359786987305,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,123480203264.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,97,4.565099|3.000000|1.000000,0.026583433151245117,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,91325775872.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,98,4.565099|3.000000|1.000000,0.025935649871826172,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,70583320576.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,99,4.565099|3.000000|1.000000,0.026368141174316406,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,51074482176.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,100,4.565099|3.000000|1.000000,0.026320934295654297,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,58650136576.000000,N/A,2,5
MOGP_GENERATIONAL,01af64ee-1431-11f1-9378-303ea725c124,Cooling,74,101,4.565099|3.000000|1.000000,0.028525829315185547,3.0,4.504544|3.000000|1.000000,4.565099|3.000000|1.000000,4.504544|3.000000|1.000000,3,141742604288.000000,N/A,2,5
