MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,64,4.338696|7.000000|1.000000,0.06497693061828613,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,49940058112.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,65,4.338696|7.000000|1.000000,0.04984688758850098,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,933684480.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,66,4.338696|7.000000|1.000000,0.06669831275939941,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,92839469056.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,67,4.338696|7.000000|1.000000,0.06432819366455078,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,91016724480.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,68,4.338696|7.000000|1.000000,0.06725907325744629,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,96514039808.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,69,4.338696|7.000000|1.000000,0.05919790267944336,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,78929559552.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,70,4.338696|7.000000|1.000000,0.06667637825012207,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,135738245120.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,71,4.338696|7.000000|1.000000,0.06541228294372559,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,72721440768.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,72,4.338696|7.000000|1.000000,0.0642242431640625,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,94756610048.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,73,4.338696|7.000000|1.000000,0.06651520729064941,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,108316336128.000000,N/A,2,5
