MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,69,4.610571|3.000000,0.019242048263549805,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,70534152192.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,70,4.610571|3.000000,0.019145488739013672,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,90291412992.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,71,4.610571|3.000000,0.01900482177734375,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86276571136.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,72,4.610571|3.000000,0.019931793212890625,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,107157635072.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,73,4.610571|3.000000,0.01961970329284668,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,116532092928.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,74,4.610571|3.000000,0.01945018768310547,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86277931008.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,75,4.610571|3.000000,0.020473241806030273,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,92191449088.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,76,4.610571|3.000000,0.01952505111694336,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,109513973760.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,77,4.610571|3.000000,0.01965022087097168,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,68566675456.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,78,4.610571|3.000000,0.019542217254638672,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,93262913536.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,79,4.610571|3.000000,0.01966071128845215,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,91684536320.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,80,4.610571|3.000000,0.018891334533691406,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86277193728.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,81,4.610571|3.000000,0.019468307495117188,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,121551413248.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,82,4.610571|3.000000,0.01913905143737793,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,109511188480.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,83,4.610571|3.000000,0.019342660903930664,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,73439748096.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,84,4.610571|3.000000,0.01943683624267578,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,93528449024.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,85,4.610571|3.000000,0.019942522048950195,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,120053596160.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,86,4.610571|3.000000,0.020498991012573242,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,92949168128.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,87,4.610571|3.000000,0.0191037654876709,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86276800512.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,88,4.610571|3.000000,0.019414186477661133,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,96633241600.000000,N/A,1,5
