MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,95,4.543731|5.000000,0.020076513290405273,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,81429348352.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,96,4.543731|5.000000,0.019440650939941406,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,99762176000.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,97,4.543731|5.000000,0.018639326095581055,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,94122024960.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,98,4.543731|5.000000,0.019530057907104492,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,85927796736.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,99,4.543731|5.000000,0.019058942794799805,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,68458516480.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,100,4.543731|5.000000,0.019837141036987305,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,117101273088.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,101,4.543731|5.000000,0.01846146583557129,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,50686451712.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,102,4.543731|5.000000,0.01928400993347168,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,99853189120.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,103,4.543731|5.000000,0.01939558982849121,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,50072764416.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,104,4.543731|5.000000,0.019545555114746094,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,113322336256.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,105,4.543731|5.000000,0.020026445388793945,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,73864773632.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,106,4.543731|5.000000,0.0191192626953125,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,111884230656.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,107,4.543731|5.000000,0.018407821655273438,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,82584805376.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,108,4.543731|5.000000,0.01881694793701172,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,81514561536.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,109,4.543731|5.000000,0.0194094181060791,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,104460279808.000000,N/A,2,5
MOGP_GENERATIONAL,27474202-14ff-11f1-9378-303ea725c124,Cooling,74,110,4.543731|5.000000,0.020368576049804688,5.0,4.217250|5.000000,4.543731|5.000000,4.217250|5.000000,5,91034918912.000000,N/A,2,5
