MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,78,2234.597412|7.000000,0.022540807723999023,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,89953845248.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,79,2234.597412|7.000000,0.021706819534301758,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,49475751936.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,80,2234.597412|7.000000,0.02121448516845703,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,33189363712.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,81,2234.597412|7.000000,0.021708011627197266,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,15917221888.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,82,2234.597412|7.000000,0.02207040786743164,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,36764241920.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,83,2234.597412|7.000000,0.022739171981811523,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,38506663936.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,84,2234.597412|7.000000,0.022792577743530273,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,24687953920.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,85,2234.597412|7.000000,0.02058577537536621,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,20310904832.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,86,2234.597412|7.000000,0.022422075271606445,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,28273213440.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,87,2234.597412|7.000000,0.021724224090576172,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,42051309568.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,88,2234.597412|7.000000,0.022557973861694336,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,45967912960.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,89,2234.597412|7.000000,0.022981882095336914,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,50071138304.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,90,2234.597412|7.000000,0.021733760833740234,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,13536907264.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,91,2234.597412|7.000000,0.021884679794311523,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,10673053696.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,92,2234.597412|7.000000,0.02129840850830078,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,49010642944.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,93,2234.597412|7.000000,0.021273374557495117,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,44584427520.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,94,2234.597412|7.000000,0.02176499366760254,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,61925769216.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,95,2234.597412|7.000000,0.02288222312927246,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,49784016896.000000,N/A,2,5
