MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,57,4.605806|3.000000,0.019555091857910156,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,101395275776.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,58,4.605806|3.000000,0.019095659255981445,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,87962845184.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,59,4.605806|3.000000,0.019237756729125977,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,62187847680.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,60,4.605806|3.000000,0.019224882125854492,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,80403988480.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,61,4.605806|3.000000,0.019227981567382812,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,104566358016.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,62,4.605806|3.000000,0.019405126571655273,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,37561098240.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,63,4.605806|3.000000,0.019562244415283203,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,86278823936.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,64,4.605806|3.000000,0.019238948822021484,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,51517964288.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,65,4.605806|3.000000,0.01948833465576172,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,96306282496.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,66,4.605806|3.000000,0.019644498825073242,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,141616185344.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,67,4.605806|3.000000,0.020347118377685547,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,88257593344.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,68,4.605806|3.000000,0.019008636474609375,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,89652289536.000000,N/A,1,5
