MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,85,4.554414|3.000000|1.000000,0.026686668395996094,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,78663671808.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,86,4.554414|3.000000|1.000000,0.026362895965576172,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,118218530816.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,87,4.554414|3.000000|1.000000,0.028235197067260742,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,94730592256.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,88,4.554414|3.000000|1.000000,0.026203155517578125,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,89,4.554414|3.000000|1.000000,0.027257919311523438,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,69219065856.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,90,4.554414|3.000000|1.000000,0.026256322860717773,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,91,4.554414|3.000000|1.000000,0.026776790618896484,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,97403723776.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,92,4.554414|3.000000|1.000000,0.027004241943359375,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,23837044736.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,93,4.554414|3.000000|1.000000,0.026478052139282227,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,1392544.500000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,94,4.554414|3.000000|1.000000,0.02729320526123047,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,96807100416.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,95,4.554414|3.000000|1.000000,0.026981830596923828,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,48288784384.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,96,4.554414|3.000000|1.000000,0.027214765548706055,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,120926887936.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,97,4.554414|3.000000|1.000000,0.02659773826599121,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,70533341184.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,98,4.554414|3.000000|1.000000,0.026508569717407227,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,60993585152.000000,N/A,2,5
MOGP_GENERATIONAL,c1ea9d7e-1520-11f1-9378-303ea725c124,Cooling,74,99,4.554414|3.000000|1.000000,0.026369094848632812,3.0,4.529619|3.000000|1.000000,4.554414|3.000000|1.000000,4.529619|3.000000|1.000000,3,96680919040.000000,N/A,2,5
