MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,76,4.751816|3.000000|1.000000,0.0570828914642334,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,96371761152.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,77,4.751816|3.000000|1.000000,0.061846256256103516,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,82025848832.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,78,4.751816|3.000000|1.000000,0.052253007888793945,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,108040626176.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,79,4.751816|3.000000|1.000000,0.06448864936828613,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,73149767680.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,80,4.751816|3.000000|1.000000,0.051749467849731445,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,129240989696.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,81,4.751816|3.000000|1.000000,0.04972481727600098,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,114318548992.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,82,4.751816|3.000000|1.000000,0.06604504585266113,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,98590392320.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,83,4.751816|3.000000|1.000000,0.0671534538269043,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,84,4.751816|3.000000|1.000000,0.05758523941040039,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,105976111104.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,85,4.751816|3.000000|1.000000,0.050039052963256836,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,85226553344.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,86,4.751816|3.000000|1.000000,0.06382346153259277,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,93019742208.000000,N/A,2,5
