MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,92,8.243773|7.000000|1.000000,0.025844097137451172,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,79972646912.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,93,8.243773|7.000000|1.000000,0.02607250213623047,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,79980429312.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,94,8.243773|7.000000|1.000000,0.026619434356689453,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,94331854848.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,95,8.243773|7.000000|1.000000,0.02664017677307129,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,84916011008.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,96,8.243773|7.000000|1.000000,0.027488231658935547,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,94984544256.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,97,8.243773|7.000000|1.000000,0.026550769805908203,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,63682150400.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,98,8.243773|7.000000|1.000000,0.026362180709838867,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,80063971328.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,99,8.243773|7.000000|1.000000,0.026114940643310547,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,47478702080.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,100,8.243773|7.000000|1.000000,0.0262758731842041,7.0,7.222734|7.000000|1.000000,8.243773|7.000000|1.000000,7.222734|7.000000|1.000000,7,85895389184.000000,N/A,2,5
MOGP_GENERATIONAL,6ecc055a-1567-11f1-9378-303ea725c124,Boston,74,101,7.529027|7.000000|2.000000,0.026807785034179688,7.0,5.977352|7.000000|2.000000,7.529027|7.000000|2.000000,5.977352|7.000000|2.000000,7,66042896384.000000,N/A,2,5
