MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,61,4.495635|3.000000,0.018873214721679688,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,103300841472.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,62,4.495635|3.000000,0.019549131393432617,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,71611899904.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,63,4.495635|3.000000,0.019492626190185547,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,47144710144.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,64,4.495635|3.000000,0.018860340118408203,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,108274483200.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,65,4.495635|3.000000,0.01896834373474121,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,93067534336.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,66,4.495635|3.000000,0.018898963928222656,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,107683577856.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,67,4.495635|3.000000,0.020231962203979492,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,111757934592.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,68,4.495635|3.000000,0.018592357635498047,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,65953779712.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,69,4.495635|3.000000,0.019472837448120117,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,117663645696.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,70,4.495635|3.000000,0.01878952980041504,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,118096584704.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,71,4.495635|3.000000,0.019310712814331055,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,95312683008.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,72,4.495635|3.000000,0.0197296142578125,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,114090475520.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,73,4.495635|3.000000,0.019805431365966797,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,87142662144.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,74,4.495635|3.000000,0.02015972137451172,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,91469176832.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,75,4.495635|3.000000,0.01990795135498047,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,56072953856.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,76,4.495635|3.000000,0.019511699676513672,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,118655016960.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,77,4.495635|3.000000,0.019747257232666016,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,104496112.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,78,4.495635|3.000000,0.01935887336730957,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,98723020800.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,79,4.495635|3.000000,0.019246816635131836,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,86276481024.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,80,4.495635|3.000000,0.018550395965576172,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,118609032.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,81,4.495635|3.000000,0.020023345947265625,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,96417554432.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,82,4.495635|3.000000,0.018540143966674805,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,120908578816.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,83,4.495635|3.000000,0.01943373680114746,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,92289228800.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,84,4.495635|3.000000,0.019223451614379883,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,114496348160.000000,N/A,1,5
