MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,91,10.493176|3.000000,4.94522500038147,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,92,10.493176|3.000000,4.855071067810059,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,93,10.493176|3.000000,4.768334865570068,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,94,10.493176|3.000000,4.967470169067383,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,95,10.493176|3.000000,4.917197227478027,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,96,10.493176|3.000000,5.047168016433716,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,97,10.493176|3.000000,5.072227239608765,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,98,10.493176|3.000000,4.929450988769531,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,99,10.493176|3.000000,4.945154905319214,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,100,10.493176|3.000000,5.037449359893799,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,101,10.493176|3.000000,4.814446926116943,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,102,10.493176|3.000000,5.0213212966918945,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,103,10.493176|3.000000,5.027987957000732,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,104,10.493176|3.000000,4.775115013122559,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,105,10.493176|3.000000,4.897956848144531,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,106,10.493176|3.000000,4.650073289871216,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,107,10.493176|3.000000,5.05495285987854,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,108,10.493176|3.000000,4.969513893127441,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,109,10.493176|3.000000,4.782941818237305,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,110,10.493176|3.000000,4.90559720993042,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,111,10.493176|3.000000,5.037316083908081,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
