MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,48,4.484513|3.000000|1.000000,0.06865501403808594,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,98778259456.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,49,4.484513|3.000000|1.000000,0.06669116020202637,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,119903150080.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,50,4.484513|3.000000|1.000000,0.06840944290161133,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,83642638336.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,51,4.484513|3.000000|1.000000,0.06714677810668945,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,104313602048.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,52,4.484513|3.000000|1.000000,0.06560611724853516,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,136240431104.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,53,4.484513|3.000000|1.000000,0.06722378730773926,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,120955052032.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,54,4.484513|3.000000|1.000000,0.06664705276489258,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,57496494080.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,55,4.484513|3.000000|1.000000,0.06619644165039062,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,92969689088.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,56,4.484513|3.000000|1.000000,0.0665731430053711,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,67406991360.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,57,4.484513|3.000000|1.000000,0.04972028732299805,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,100084047872.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,58,4.484513|3.000000|1.000000,0.06533360481262207,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,121551265792.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,59,4.484513|3.000000|1.000000,0.06644845008850098,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,82044592128.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,60,4.484513|3.000000|1.000000,0.06667113304138184,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,125221183488.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,61,4.484513|3.000000|1.000000,0.05900239944458008,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,79943663616.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,62,4.484513|3.000000|1.000000,0.06462645530700684,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,23380234240.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,63,4.484513|3.000000|1.000000,0.0677490234375,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,99518373888.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,64,4.484513|3.000000|1.000000,0.06679582595825195,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,82950512640.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,65,4.484513|3.000000|1.000000,0.059916019439697266,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,85442445312.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,66,4.484513|3.000000|1.000000,0.062123775482177734,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,79943655424.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,67,4.484513|3.000000|1.000000,0.06428766250610352,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,94213881856.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,68,4.484513|3.000000|1.000000,0.06756448745727539,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,100786552832.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,69,4.484513|3.000000|1.000000,0.06706643104553223,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,96049569792.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,70,4.484513|3.000000|1.000000,0.06786870956420898,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,128287449088.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,71,4.484513|3.000000|1.000000,0.06267380714416504,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,126659608576.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,72,4.484513|3.000000|1.000000,0.06782364845275879,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,73881116672.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,73,4.484513|3.000000|1.000000,0.06551933288574219,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,117180006400.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,74,4.484513|3.000000|1.000000,0.06668424606323242,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,76353282048.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,75,4.484513|3.000000|1.000000,0.052170753479003906,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,79042486272.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,76,4.484513|3.000000|1.000000,0.06663846969604492,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,140000018432.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,77,4.484513|3.000000|1.000000,0.07948946952819824,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,122001252352.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,78,4.484513|3.000000|1.000000,0.06459259986877441,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,127065448448.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,79,4.484513|3.000000|1.000000,0.06525325775146484,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,95553110016.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,80,4.484513|3.000000|1.000000,0.06665682792663574,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,102092791808.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,81,4.484513|3.000000|1.000000,0.049906253814697266,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,108864692224.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,82,4.484513|3.000000|1.000000,0.061264753341674805,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,70533423104.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,83,4.484513|3.000000|1.000000,0.06539463996887207,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,86277185536.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,84,4.484513|3.000000|1.000000,0.06652355194091797,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,106420322304.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,85,4.484513|3.000000|1.000000,0.06667947769165039,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,107914190848.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,86,4.484513|3.000000|1.000000,0.06666254997253418,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,69508308992.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,87,4.484513|3.000000|1.000000,0.06793379783630371,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,96713162752.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,88,4.484513|3.000000|1.000000,0.04950666427612305,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,142727282688.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,89,4.484513|3.000000|1.000000,0.0562129020690918,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,110960762880.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,90,4.484513|3.000000|1.000000,0.06669759750366211,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,96642473984.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,91,4.484513|3.000000|1.000000,0.06780076026916504,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,82555731968.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,92,4.484513|3.000000|1.000000,0.06592226028442383,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,70534504448.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,93,4.484513|3.000000|1.000000,0.06455254554748535,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,86278643712.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,94,4.484513|3.000000|1.000000,0.06537866592407227,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,93999316992.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,95,4.484513|3.000000|1.000000,0.05205059051513672,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,99503194112.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,96,4.484513|3.000000|1.000000,0.06664872169494629,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,123480375296.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,97,4.484513|3.000000|1.000000,0.06533241271972656,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,91651678208.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,98,4.484513|3.000000|1.000000,0.05611085891723633,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,70584877056.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,99,4.484513|3.000000|1.000000,0.05012249946594238,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,50710503424.000000,N/A,2,5
MOGP_GENERATIONAL,34fc935b-1352-11f1-817a-b751108eed3b,Cooling,74,100,4.484513|3.000000|1.000000,0.060746192932128906,3.0,4.688949|3.000000|1.000000,4.484513|3.000000|1.000000,4.688949|3.000000|1.000000,3,59241132032.000000,N/A,2,5
