MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,77,8.030987|7.000000|1.000000,0.02672600746154785,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,85768519680.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,78,8.030987|7.000000|1.000000,0.026596784591674805,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,103545208832.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,79,8.030987|7.000000|1.000000,0.027106285095214844,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,72698593280.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,80,8.030987|7.000000|1.000000,0.026683807373046875,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,59851022336.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,81,8.030987|7.000000|1.000000,0.02684187889099121,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,97793933312.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,82,8.030987|7.000000|1.000000,0.025994062423706055,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,78052081664.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,83,8.030987|7.000000|1.000000,0.02671670913696289,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,54600024064.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,84,8.030987|7.000000|1.000000,0.026303768157958984,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,62401441792.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,85,8.030987|7.000000|1.000000,0.027449846267700195,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,95994339328.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,86,8.030987|7.000000|1.000000,0.025916337966918945,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,52841971712.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,87,8.030987|7.000000|1.000000,0.02590179443359375,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,102951714816.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,88,8.030987|7.000000|1.000000,0.02701401710510254,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,92568363008.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,89,8.030987|7.000000|1.000000,0.026389122009277344,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,87255040000.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,90,8.030987|7.000000|1.000000,0.026165246963500977,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,79600910336.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,91,8.030987|7.000000|1.000000,0.027735471725463867,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,109320241152.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,92,8.030987|7.000000|1.000000,0.026288747787475586,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,91419844608.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,93,8.030987|7.000000|1.000000,0.02619791030883789,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,33198006272.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,94,8.030987|7.000000|1.000000,0.027056217193603516,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,50871746560.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,95,8.030987|7.000000|1.000000,0.027071237564086914,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,92002582528.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,96,8.030987|7.000000|1.000000,0.027134418487548828,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,54132154368.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,97,8.030987|7.000000|1.000000,0.026784658432006836,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,78109548544.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,98,8.030987|7.000000|1.000000,0.02616572380065918,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,71176732672.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,99,8.030987|7.000000|1.000000,0.02619791030883789,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,59668066304.000000,N/A,2,5
MOGP_GENERATIONAL,7cb31ba8-146e-11f1-9378-303ea725c124,Boston,74,100,8.030987|7.000000|1.000000,0.026279449462890625,7.0,7.761004|7.000000|1.000000,8.030987|7.000000|1.000000,7.761004|7.000000|1.000000,7,712590464.000000,N/A,2,5
