MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,105,4.559990|3.000000,0.019747018814086914,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,79963357184.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,106,4.559990|3.000000,0.019359588623046875,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,120896806912.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,107,4.559990|3.000000,0.01810431480407715,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,121552478208.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,108,4.559990|3.000000,0.018642187118530273,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,49951039488.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,109,4.559990|3.000000,0.019391298294067383,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,71345905664.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,110,4.559990|3.000000,0.02048969268798828,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,85388279808.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,111,4.559990|3.000000,0.020537137985229492,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,99990470656.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,112,4.559990|3.000000,0.019429922103881836,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,145953783808.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,113,4.559990|3.000000,0.018458127975463867,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,97497088000.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,114,4.559990|3.000000,0.0189359188079834,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,79663267840.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,115,4.559990|3.000000,0.01937246322631836,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,86279774208.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,116,4.559990|3.000000,0.018266677856445312,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,110417666048.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,117,4.559990|3.000000,0.01945972442626953,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,107731574784.000000,N/A,1,5
MOGP_GENERATIONAL,b97d8544-1434-11f1-9378-303ea725c124,Cooling,74,118,4.559990|3.000000,0.019041776657104492,3.0,4.516559|3.000000,4.559990|3.000000,4.516559|3.000000,3,122183737344.000000,N/A,1,5
