MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,80,3.880493|7.000000|3.000000,0.027909278869628906,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,93615726592.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,81,3.880493|7.000000|3.000000,0.0262448787689209,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,128195264512.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,82,3.880493|7.000000|3.000000,0.026763439178466797,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,111912534016.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,83,3.880493|7.000000|3.000000,0.027479171752929688,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,115861299200.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,84,3.880493|7.000000|3.000000,0.027158737182617188,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,82584502272.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,85,3.880493|7.000000|3.000000,0.06313848495483398,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,78634352640.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,86,3.880493|7.000000|3.000000,0.026421785354614258,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,118256697344.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,87,3.880493|7.000000|3.000000,0.028171062469482422,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,94754955264.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,88,3.880493|7.000000|3.000000,0.026420116424560547,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,89,3.880493|7.000000|3.000000,0.027237892150878906,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,69084749824.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,90,3.880493|7.000000|3.000000,0.026048898696899414,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,27d94b1e-1538-11f1-9378-303ea725c124,Cooling,74,91,3.880493|7.000000|3.000000,0.02689981460571289,7.0,4.146437|7.000000|3.000000,3.880493|7.000000|3.000000,4.146437|7.000000|3.000000,7,97333665792.000000,N/A,2,5
