MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,61,4.577525|3.000000,0.0190889835357666,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,24396785664.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,62,4.577525|3.000000,0.01916050910949707,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,118996148224.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,63,4.577525|3.000000,0.019373416900634766,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,92935479296.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,64,4.577525|3.000000,0.01909637451171875,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,109984604160.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,65,4.577525|3.000000,0.019019126892089844,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,145671749632.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,66,4.577525|3.000000,0.0188143253326416,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,50236964864.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,67,4.577525|3.000000,0.020346403121948242,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,133551005696.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,68,4.577525|3.000000,0.018823623657226562,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,94067949568.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,69,4.577525|3.000000,0.01871323585510254,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,124919824384.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,70,4.577525|3.000000,0.019153594970703125,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,92863397888.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,71,4.577525|3.000000,0.018878698348999023,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,122049159168.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,72,4.577525|3.000000,0.019536495208740234,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,93954834432.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,73,4.577525|3.000000,0.01934051513671875,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,111699656704.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,74,4.577525|3.000000,0.019779205322265625,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,50546073600.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,75,4.577525|3.000000,0.01979231834411621,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,75454095360.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,76,4.577525|3.000000,0.019621610641479492,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,108868370432.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,77,4.577525|3.000000,0.0198974609375,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,92692750336.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,78,4.577525|3.000000,0.0193483829498291,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,96699236352.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,79,4.577525|3.000000,0.019212722778320312,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,135488675840.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,80,4.577525|3.000000,0.018738508224487305,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,65987186688.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,81,4.577525|3.000000,0.02020096778869629,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,116527652864.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,82,4.577525|3.000000,0.01859879493713379,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,49944858624.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,83,4.577525|3.000000,0.019339799880981445,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,77888217088.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,84,4.577525|3.000000,0.01907825469970703,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,90360086528.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,85,4.577525|3.000000,0.02116870880126953,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,115711721472.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,86,4.577525|3.000000,0.01967597007751465,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,79713943552.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,87,4.577525|3.000000,0.01897454261779785,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,87126786048.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,88,4.577525|3.000000,0.055582523345947266,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,96750608384.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,89,4.577525|3.000000,0.018815040588378906,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,50004652032.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,90,4.577525|3.000000,0.01893758773803711,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,49939345408.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,91,4.577525|3.000000,0.019839763641357422,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,92,4.577525|3.000000,0.01980304718017578,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,62175186944.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,93,4.577525|3.000000,0.01862025260925293,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,92474720256.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,94,4.577525|3.000000,0.0185849666595459,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,138733387776.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,95,4.577525|3.000000,0.01996636390686035,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,111097454592.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,96,4.577525|3.000000,0.019011974334716797,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,71592845312.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,97,4.577525|3.000000,0.019534826278686523,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,49937436672.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,98,4.577525|3.000000,0.019287824630737305,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,52832485376.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,99,4.577525|3.000000,0.01917290687561035,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,111673475072.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,100,4.577525|3.000000,0.019588232040405273,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,106337787904.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,101,4.577525|3.000000,0.01880812644958496,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,70533668864.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,102,4.577525|3.000000,0.019176244735717773,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,115139141632.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,103,4.577525|3.000000,0.019773006439208984,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,51579834368.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,104,4.577525|3.000000,0.019438743591308594,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,97607172096.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,105,4.577525|3.000000,0.019468069076538086,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,109617414144.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,106,4.577525|3.000000,0.019677400588989258,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,55666761728.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,107,4.577525|3.000000,0.017791748046875,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,69073838080.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,108,4.577525|3.000000,0.01907658576965332,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,58590707712.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,109,4.577525|3.000000,0.019368648529052734,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,123917844480.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,110,4.577525|3.000000,0.020291805267333984,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,129094008832.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,111,4.577525|3.000000,0.019568204879760742,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,105383084032.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,112,4.577525|3.000000,0.01899266242980957,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,81833451520.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,113,4.577525|3.000000,0.018484115600585938,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,97933099008.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,114,4.577525|3.000000,0.01857733726501465,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,2633696768.000000,N/A,1,5
MOGP_GENERATIONAL,4c4d0ac0-1516-11f1-9378-303ea725c124,Cooling,74,115,4.577525|3.000000,0.019145727157592773,3.0,4.475134|3.000000,4.577525|3.000000,4.475134|3.000000,3,50345553920.000000,N/A,1,5
