MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,74,4.481646|7.000000|1.000000,0.028005599975585938,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,79507701760.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,75,4.481646|7.000000|1.000000,0.025706768035888672,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,83718438912.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,76,4.481646|7.000000|1.000000,0.026641130447387695,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,68703342592.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,77,4.481646|7.000000|1.000000,0.027226924896240234,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,82557411328.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,78,4.481646|7.000000|1.000000,0.027744531631469727,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,156280815616.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,79,4.481646|7.000000|1.000000,0.02726006507873535,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,111098978304.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,80,4.481646|7.000000|1.000000,0.027812719345092773,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,105549643776.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,81,4.481646|7.000000|1.000000,0.06508898735046387,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,96273317888.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,82,4.481646|7.000000|1.000000,0.02667093276977539,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,113888231424.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,83,4.481646|7.000000|1.000000,0.027685165405273438,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,115934863360.000000,N/A,2,5
