MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,95,2061.361084|7.000000,0.021893739700317383,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,7822806528.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,96,2061.361084|7.000000,0.02199101448059082,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,59086827520.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,97,2061.361084|7.000000,0.021322250366210938,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,50959306752.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,98,2061.361084|7.000000,0.021697282791137695,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,317.083557,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,99,2061.361084|7.000000,0.021682262420654297,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,5531559936.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,100,2061.361084|7.000000,0.02196025848388672,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,9569575936.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,101,2061.361084|7.000000,0.021470308303833008,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,55611674624.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,102,2061.361084|7.000000,0.02065753936767578,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,6393068.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,103,2061.361084|7.000000,0.022146940231323242,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,51980939264.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,104,2061.361084|7.000000,0.024218320846557617,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,48629780480.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,105,2061.361084|7.000000,0.02295374870300293,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,34076223488.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,106,2061.361084|7.000000,0.02247166633605957,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,49744605184.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,107,2061.361084|7.000000,0.022172927856445312,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,49938989056.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,108,2061.361084|7.000000,0.021351099014282227,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,49569136640.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,109,2061.361084|7.000000,0.02301788330078125,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,46640930816.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,110,2061.361084|7.000000,0.021586894989013672,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,90357342208.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,111,2061.361084|7.000000,0.02281332015991211,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,48432988160.000000,N/A,2,5
MOGP_GENERATIONAL,f00ef718-1417-11f1-9378-303ea725c124,Toxicity,74,112,2061.361084|7.000000,0.022637128829956055,7.0,2037.092773|7.000000,2061.361084|7.000000,2037.092773|7.000000,7,46180716544.000000,N/A,2,5
