MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,105,4.492990|3.000000,5.290794849395752,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,106,4.492990|3.000000,5.127488851547241,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,107,4.492990|3.000000,5.077757120132446,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,108,4.492990|3.000000,5.135132074356079,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,109,4.492990|3.000000,5.250439882278442,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,110,4.492990|3.000000,5.274922132492065,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,111,4.492990|3.000000,5.3173370361328125,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,112,4.492990|3.000000,5.1648969650268555,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,113,4.492990|3.000000,5.224711894989014,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,114,4.492990|3.000000,5.166419267654419,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,115,4.492990|3.000000,5.088713884353638,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,116,4.492990|3.000000,5.1394641399383545,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,117,4.492990|3.000000,5.279672145843506,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,118,4.492990|3.000000,5.116713047027588,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,119,4.492990|3.000000,5.177482843399048,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,120,4.492990|3.000000,5.237048149108887,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,121,4.492990|3.000000,5.378795146942139,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,122,4.492990|3.000000,5.128325939178467,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,123,4.492990|3.000000,5.1792378425598145,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,124,4.492990|3.000000,5.100127220153809,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,125,4.492990|3.000000,5.237437963485718,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,126,4.492990|3.000000,5.08855414390564,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,127,4.492990|3.000000,5.876449108123779,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
