MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,90,4.633978|3.000000|1.000000,0.02648162841796875,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,98708242432.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,91,4.633978|3.000000|1.000000,0.026903152465820312,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,1398550784.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,92,4.633978|3.000000|1.000000,0.0269777774810791,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,78803738624.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,93,4.633978|3.000000|1.000000,0.02675175666809082,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,86277906432.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,94,4.633978|3.000000|1.000000,0.02705979347229004,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,83695828992.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,95,4.633978|3.000000|1.000000,0.027073144912719727,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,89751183360.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,96,4.633978|3.000000|1.000000,0.026812314987182617,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,117194326016.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,97,4.633978|3.000000|1.000000,0.026561498641967773,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,60692570112.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,98,4.633978|3.000000|1.000000,0.02646660804748535,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,99498663936.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,99,4.633978|3.000000|1.000000,0.026427030563354492,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,97680547840.000000,N/A,2,5
MOGP_GENERATIONAL,b6ffc044-1451-11f1-9378-303ea725c124,Cooling,74,100,4.633978|3.000000|1.000000,0.026185274124145508,3.0,4.337965|3.000000|1.000000,4.633978|3.000000|1.000000,4.337965|3.000000|1.000000,3,49937469440.000000,N/A,2,5
