MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,78,4.559990|3.000000,5.117560148239136,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,79,4.559990|3.000000,5.180133104324341,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,80,4.559990|3.000000,5.189311981201172,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,81,4.559990|3.000000,5.044110059738159,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,82,4.559990|3.000000,5.103002071380615,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,83,4.559990|3.000000,5.125196218490601,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,84,4.559990|3.000000,5.229238033294678,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,85,4.559990|3.000000,4.97551703453064,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,86,4.559990|3.000000,5.27669358253479,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,87,4.559990|3.000000,5.3019020557403564,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,88,4.559990|3.000000,5.298598766326904,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,89,4.559990|3.000000,5.154634952545166,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,90,4.559990|3.000000,5.310955047607422,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,91,4.559990|3.000000,5.070574760437012,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,92,4.559990|3.000000,5.228532075881958,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,93,4.559990|3.000000,5.397479057312012,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
MOGP_NSGAII,88e9757e-ea21-11f0-a117-6e001b3eef54,Cooling,74,94,4.559990|3.000000,5.150058269500732,3.0,4.516559|3.000000,4.323383|5.000000,5,0.002965,N/A,5
