MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,86,6.788783|7.000000|2.000000,0.02585005760192871,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,101232377856.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,87,6.788783|7.000000|2.000000,0.0259702205657959,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,83852574720.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,88,6.788783|7.000000|2.000000,0.026758909225463867,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,65844916224.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,89,6.788783|7.000000|2.000000,0.026675939559936523,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,101404893184.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,90,6.788783|7.000000|2.000000,0.026085615158081055,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,52198805504.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,91,6.788783|7.000000|2.000000,0.02768397331237793,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,96986324992.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,92,6.788783|7.000000|2.000000,0.027057647705078125,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,52961742848.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,93,6.788783|7.000000|2.000000,0.026297569274902344,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,29485520896.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,94,6.788783|7.000000|2.000000,0.026816606521606445,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,85932343296.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,95,6.788783|7.000000|2.000000,0.02703237533569336,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,109073915904.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,96,6.788783|7.000000|2.000000,0.02796316146850586,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,108373835776.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,97,6.788783|7.000000|2.000000,0.026636600494384766,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,89242329088.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,98,6.788783|7.000000|2.000000,0.026335954666137695,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,71220723712.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,99,6.788783|7.000000|2.000000,0.02647256851196289,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,59208359936.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,100,6.788783|7.000000|2.000000,0.026171207427978516,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,145998528.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,101,6.788783|7.000000|2.000000,0.02647995948791504,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,69298053120.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,102,6.788783|7.000000|2.000000,0.027956485748291016,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,101155905536.000000,N/A,2,5
MOGP_GENERATIONAL,04627742-1460-11f1-9378-303ea725c124,Boston,74,103,6.788783|7.000000|2.000000,0.026798248291015625,7.0,7.772546|7.000000|2.000000,6.788783|7.000000|2.000000,7.772546|7.000000|2.000000,7,73767960576.000000,N/A,2,5
