MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,99,4.544744|3.000000,0.01906895637512207,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,65847361536.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,100,4.544744|3.000000,0.020132780075073242,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,95481872384.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,101,4.544744|3.000000,0.018520832061767578,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,105328017408.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,102,4.544744|3.000000,0.018996477127075195,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,66282545152.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,103,4.544744|3.000000,0.019246816635131836,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,82847678464.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,104,4.544744|3.000000,0.019820690155029297,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,118922403840.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,105,4.544744|3.000000,0.01954507827758789,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,104809373696.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,106,4.544744|3.000000,0.019639968872070312,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,49997471744.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,107,4.544744|3.000000,0.018080711364746094,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,88595177472.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,108,4.544744|3.000000,0.018575429916381836,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,40834692.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,109,4.544744|3.000000,0.019597530364990234,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,102096011264.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,110,4.544744|3.000000,0.020149707794189453,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,129903583232.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,111,4.544744|3.000000,0.019634485244750977,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,80896983040.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,112,4.544744|3.000000,0.01995706558227539,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,96547389440.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,113,4.544744|3.000000,0.018708467483520508,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,65998655488.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,114,4.544744|3.000000,0.018656492233276367,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,64415649792.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,115,4.544744|3.000000,0.019204139709472656,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,114480340992.000000,N/A,1,5
MOGP_GENERATIONAL,dfdafdb4-1503-11f1-9378-303ea725c124,Cooling,74,116,4.544744|3.000000,0.01884007453918457,3.0,4.552140|3.000000,4.544744|3.000000,4.552140|3.000000,3,108210282496.000000,N/A,1,5
