MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,64,6.747207|7.000000|2.000000,0.02654886245727539,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,81445888000.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,65,6.747207|7.000000|2.000000,0.026012420654296875,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,69990785024.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,66,6.747207|7.000000|2.000000,0.026414155960083008,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,103250386944.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,67,6.747207|7.000000|2.000000,0.026540756225585938,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,111863504896.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,68,6.747207|7.000000|2.000000,0.026449918746948242,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,74621222912.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,69,6.747207|7.000000|2.000000,0.026140928268432617,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,54568222720.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,70,6.747207|7.000000|2.000000,0.02702927589416504,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,106296123392.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,71,6.747207|7.000000|2.000000,0.027652978897094727,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,88985919488.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,72,6.747207|7.000000|2.000000,0.02552509307861328,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,89324552192.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,73,6.747207|7.000000|2.000000,0.02631545066833496,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,68415893504.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,74,6.747207|7.000000|2.000000,0.027861356735229492,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,96008503296.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,75,6.747207|7.000000|2.000000,0.02589559555053711,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,68368617472.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,76,6.747207|7.000000|2.000000,0.026180267333984375,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,74401423360.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,77,6.747207|7.000000|2.000000,0.026819944381713867,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,62065451008.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,78,6.747207|7.000000|2.000000,0.026474952697753906,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,98388353024.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,79,6.747207|7.000000|2.000000,0.026873350143432617,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,53415845888.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,80,6.747207|7.000000|2.000000,0.026842355728149414,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,57764679680.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,81,6.747207|7.000000|2.000000,0.02685832977294922,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,110695071744.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,82,6.747207|7.000000|2.000000,0.02560281753540039,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,3757046272.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,83,6.747207|7.000000|2.000000,0.026866674423217773,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,58943393792.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,84,6.747207|7.000000|2.000000,0.02639031410217285,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,62344372224.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,85,6.747207|7.000000|2.000000,0.027318477630615234,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,96099721216.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,86,6.747207|7.000000|2.000000,0.025795459747314453,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,52918534144.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,87,6.747207|7.000000|2.000000,0.02588677406311035,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,102842859520.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,88,6.747207|7.000000|2.000000,0.026660680770874023,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,92505407488.000000,N/A,2,5
MOGP_GENERATIONAL,08e026a8-1559-11f1-9378-303ea725c124,Boston,74,89,6.747207|7.000000|2.000000,0.026416301727294922,7.0,7.856406|7.000000|2.000000,6.747207|7.000000|2.000000,7.856406|7.000000|2.000000,7,92494733312.000000,N/A,2,5
