MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,85,7.037997|7.000000|2.000000,0.02752375602722168,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,96726228992.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,86,7.037997|7.000000|2.000000,0.02589559555053711,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,53840662528.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,87,7.037997|7.000000|2.000000,0.025827646255493164,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,102847823872.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,88,7.037997|7.000000|2.000000,0.026940107345581055,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,92900253696.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,89,7.037997|7.000000|2.000000,0.026360034942626953,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,92767961088.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,90,7.037997|7.000000|2.000000,0.026107311248779297,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,91636228096.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,91,7.037997|7.000000|2.000000,0.027547597885131836,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,118499491840.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,92,7.037997|7.000000|2.000000,0.026656150817871094,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,70417743872.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,93,7.037997|7.000000|2.000000,0.026268482208251953,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,41229942784.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,94,7.037997|7.000000|2.000000,0.026913881301879883,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,102033276928.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,95,7.037997|7.000000|2.000000,0.02732563018798828,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,35007586304.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,96,7.037997|7.000000|2.000000,0.027446269989013672,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,72832393216.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,97,7.037997|7.000000|2.000000,0.02654409408569336,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,105468526592.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,98,7.037997|7.000000|2.000000,0.02621173858642578,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,80988946432.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,99,7.037997|7.000000|2.000000,0.02658987045288086,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,59476410368.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,100,7.037997|7.000000|2.000000,0.026285886764526367,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,52308111360.000000,N/A,2,5
MOGP_GENERATIONAL,230d8b20-148b-11f1-9378-303ea725c124,Boston,74,101,7.037997|7.000000|2.000000,0.026887893676757812,7.0,7.237908|7.000000|2.000000,7.037997|7.000000|2.000000,7.237908|7.000000|2.000000,7,53046792192.000000,N/A,2,5
