MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,64,4.389738|3.000000|1.000000,0.02648782730102539,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,86276644864.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,65,4.389738|3.000000|1.000000,0.026335716247558594,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,93003079680.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,66,4.389738|3.000000|1.000000,0.026080846786499023,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,84180353024.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,67,4.389738|3.000000|1.000000,0.026655912399291992,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,106114883584.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,68,4.389738|3.000000|1.000000,0.026688337326049805,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,110521688064.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,69,4.389738|3.000000|1.000000,0.027112722396850586,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,82221277184.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,70,4.389738|3.000000|1.000000,0.028030872344970703,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,137299165184.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,71,4.389738|3.000000|1.000000,0.026287078857421875,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,112463552512.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,72,4.389738|3.000000|1.000000,0.026150941848754883,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,107861311488.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,73,4.389738|3.000000|1.000000,0.027776718139648438,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,127670362112.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,74,4.389738|3.000000|1.000000,0.027922868728637695,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,139997380608.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,75,4.389738|3.000000|1.000000,0.025443553924560547,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,62307315712.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,76,4.389738|3.000000|1.000000,0.02674388885498047,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,66093817856.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,77,4.389738|3.000000|1.000000,0.027438879013061523,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,87579402240.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,78,4.389738|3.000000|1.000000,0.027673959732055664,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,117246509056.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,79,4.389738|3.000000|1.000000,0.026973962783813477,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,99498835968.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,80,4.389738|3.000000|1.000000,0.027812480926513672,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,93864583168.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,81,4.389738|3.000000|1.000000,0.02621150016784668,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,128391012352.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,82,4.389738|3.000000|1.000000,0.026537179946899414,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,112519675904.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,83,4.389738|3.000000|1.000000,0.02751898765563965,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,115921436672.000000,N/A,2,5
