MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,52,4.477321|3.000000|1.000000,0.027475595474243164,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,110890295296.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,53,4.477321|3.000000|1.000000,0.026789426803588867,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,79162138624.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,54,4.477321|3.000000|1.000000,0.027106523513793945,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,97969389568.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,55,4.477321|3.000000|1.000000,0.026170969009399414,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,94344003584.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,56,4.477321|3.000000|1.000000,0.027916669845581055,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,129403117568.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,57,4.477321|3.000000|1.000000,0.026493072509765625,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,105969934336.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,58,4.477321|3.000000|1.000000,0.0272064208984375,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,137202524160.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,59,4.477321|3.000000|1.000000,0.027047395706176758,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,114522144768.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,60,4.477321|3.000000|1.000000,0.026938438415527344,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,58325975040.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,61,4.477321|3.000000|1.000000,0.02626657485961914,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,50010755072.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,62,4.477321|3.000000|1.000000,0.02642536163330078,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,68702687232.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,63,4.477321|3.000000|1.000000,0.027147769927978516,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,106730233856.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,64,4.477321|3.000000|1.000000,0.026543140411376953,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,86276636672.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,65,4.477321|3.000000|1.000000,0.026291847229003906,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,93416554496.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,66,4.477321|3.000000|1.000000,0.026060104370117188,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,84398915584.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,67,4.477321|3.000000|1.000000,0.02662062644958496,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,106524352512.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,68,4.477321|3.000000|1.000000,0.0267636775970459,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,110459281408.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,69,4.477321|3.000000|1.000000,0.026785850524902344,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,82518663168.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,70,4.477321|3.000000|1.000000,0.027903079986572266,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,137203908608.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,71,4.477321|3.000000|1.000000,0.026246309280395508,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,111471321088.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,72,4.477321|3.000000|1.000000,0.0260622501373291,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,107524218880.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,73,4.477321|3.000000|1.000000,0.027727127075195312,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,128004317184.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,74,4.477321|3.000000|1.000000,0.027856826782226562,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,139997396992.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,75,4.477321|3.000000|1.000000,0.025449752807617188,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,63009062912.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,76,4.477321|3.000000|1.000000,0.026723384857177734,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,65812959232.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,77,4.477321|3.000000|1.000000,0.027271032333374023,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,87538008064.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,78,4.477321|3.000000|1.000000,0.02760004997253418,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,117623881728.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,79,4.477321|3.000000|1.000000,0.02696824073791504,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,99498491904.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,80,4.477321|3.000000|1.000000,0.027850866317749023,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,94529921024.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,81,4.477321|3.000000|1.000000,0.026139020919799805,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,128390946816.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,82,4.477321|3.000000|1.000000,0.02653813362121582,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,112335110144.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,83,4.477321|3.000000|1.000000,0.02760171890258789,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,116176805888.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,84,4.477321|3.000000|1.000000,0.027006149291992188,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,82472615936.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,85,4.477321|3.000000|1.000000,0.026653051376342773,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,78399488000.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,86,4.477321|3.000000|1.000000,0.02638387680053711,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,118171762688.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,87,4.477321|3.000000|1.000000,0.028130054473876953,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,95094480896.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,88,4.477321|3.000000|1.000000,0.026285409927368164,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,89,4.477321|3.000000|1.000000,0.027385711669921875,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,68915519488.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,90,4.477321|3.000000|1.000000,0.02617025375366211,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,91,4.477321|3.000000|1.000000,0.02674388885498047,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,97473265664.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,92,4.477321|3.000000|1.000000,0.027095317840576172,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,24543481856.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,93,4.477321|3.000000|1.000000,0.0265653133392334,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,1373058.375000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,94,4.477321|3.000000|1.000000,0.027389049530029297,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,97091543040.000000,N/A,2,5
MOGP_GENERATIONAL,a1a0f24e-1533-11f1-9378-303ea725c124,Cooling,74,95,4.477321|3.000000|1.000000,0.02682948112487793,3.0,4.704899|3.000000|1.000000,4.477321|3.000000|1.000000,4.704899|3.000000|1.000000,3,48480612352.000000,N/A,2,5
