MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,87,2161.450439|15.000000|2.000000,0.028768539428710938,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,50898522112.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,88,2161.450439|15.000000|2.000000,0.029044628143310547,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,50911539200.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,89,2161.450439|15.000000|2.000000,0.028750896453857422,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,9591379968.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,90,2161.450439|15.000000|2.000000,0.03076767921447754,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,72915156992.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,91,2161.450439|15.000000|2.000000,0.028876304626464844,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,55667875840.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,92,2161.450439|15.000000|2.000000,0.0301361083984375,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,45322895360.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,93,2161.450439|15.000000|2.000000,0.028802871704101562,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,72389902336.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,94,2161.450439|15.000000|2.000000,0.030364036560058594,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,50825408512.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,95,2161.450439|15.000000|2.000000,0.027896642684936523,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,69792014336.000000,N/A,2,5
MOGP_GENERATIONAL,610d9d1a-13d3-11f1-9378-303ea725c124,Toxicity,74,96,2161.450439|15.000000|2.000000,0.029720783233642578,15.0,1646.492065|15.000000|2.000000,2161.450439|15.000000|2.000000,1646.492065|15.000000|2.000000,15,41987932160.000000,N/A,2,5
