MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,0,10.019363|3.000000,0.768082857131958,3.0,10.284841|3.000000,10.284841|3.000000,3,243624722432.000000,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,67,9.346452|3.000000,5.146708011627197,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,68,9.346452|3.000000,4.955473899841309,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,69,9.346452|3.000000,4.978226900100708,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,70,9.346452|3.000000,5.271625995635986,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,71,9.346452|3.000000,5.112837076187134,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,72,9.346452|3.000000,5.176820993423462,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,73,9.346452|3.000000,5.131619930267334,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,74,9.346452|3.000000,5.090354919433594,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,75,9.346452|3.000000,5.107250213623047,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,76,9.346452|3.000000,5.273942947387695,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,77,9.346452|3.000000,5.177601099014282,3.0,9.205783|3.000000,8.096146|5.000000,5,0.149242,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,78,9.346452|3.000000,5.232493877410889,3.0,9.205783|3.000000,8.096146|5.000000,5,0.189570,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,79,9.346452|3.000000,4.954509019851685,3.0,9.205783|3.000000,8.096146|5.000000,5,0.189570,N/A,5
