MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,126,4.507786|3.000000,9.04393982887268,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,127,4.507786|3.000000,9.156466007232666,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,128,4.507786|3.000000,8.646706819534302,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,129,4.507786|3.000000,8.696990966796875,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,130,4.507786|3.000000,9.0310218334198,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,131,4.507786|3.000000,9.088656902313232,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,132,4.507786|3.000000,9.146146059036255,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,133,4.507786|3.000000,9.152553081512451,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,134,4.507786|3.000000,9.026554107666016,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,135,4.507786|3.000000,8.968070030212402,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
MOGP_NSGAII,9a5dc54a-e890-11f0-be05-6e001b3eef54,Cooling,74,136,4.507786|3.000000,9.442921876907349,3.0,4.636782|3.000000,4.621466|7.000000,7,0.000690,N/A,5
