MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,64,4.507786|3.000000,0.01918196678161621,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,275309344.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,65,4.507786|3.000000,0.018993854522705078,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,101648629760.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,66,4.507786|3.000000,0.019045591354370117,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,87698849792.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,67,4.507786|3.000000,0.02014017105102539,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,92944834560.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,68,4.507786|3.000000,0.019202232360839844,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,67871838208.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,69,4.507786|3.000000,0.01906609535217285,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,67172118528.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,70,4.507786|3.000000,0.018823862075805664,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,71349305344.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,71,4.507786|3.000000,0.01935410499572754,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,105212583936.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,72,4.507786|3.000000,0.019768714904785156,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,49985155072.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,73,4.507786|3.000000,0.019304275512695312,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,118265970688.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,74,4.507786|3.000000,0.02001023292541504,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,121552470016.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,75,4.507786|3.000000,0.020015954971313477,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,109173587968.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,76,4.507786|3.000000,0.01920342445373535,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,85361704960.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,77,4.507786|3.000000,0.020131826400756836,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,78,4.507786|3.000000,0.019571304321289062,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,123008483328.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,79,4.507786|3.000000,0.019775390625,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,66849742848.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,80,4.507786|3.000000,0.018658161163330078,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,110396874752.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,81,4.507786|3.000000,0.01961803436279297,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,84514971648.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,82,4.507786|3.000000,0.01928997039794922,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,21516050432.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,83,4.507786|3.000000,0.01981806755065918,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,86356140032.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,84,4.507786|3.000000,0.020263195037841797,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,90037657600.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,85,4.507786|3.000000,0.019865989685058594,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,62388133888.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,86,4.507786|3.000000,0.020492076873779297,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,148580859904.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,87,4.507786|3.000000,0.019102811813354492,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,57139363840.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,88,4.507786|3.000000,0.019290924072265625,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,105484894208.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,89,4.507786|3.000000,0.01903700828552246,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,90,4.507786|3.000000,0.01940131187438965,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,102696394752.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,91,4.507786|3.000000,0.019284725189208984,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,105174040576.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,92,4.507786|3.000000,0.02020573616027832,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,98707300352.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,93,4.507786|3.000000,0.018970251083374023,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,49937473536.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,94,4.507786|3.000000,0.01843547821044922,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,95,4.507786|3.000000,0.02012014389038086,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,106188496896.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,96,4.507786|3.000000,0.019481182098388672,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,118922264576.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,97,4.507786|3.000000,0.01862192153930664,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,86276571136.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,98,4.507786|3.000000,0.0189054012298584,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,71568228352.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,99,4.507786|3.000000,0.019230365753173828,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,79625674752.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,100,4.507786|3.000000,0.02037787437438965,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,87892402176.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,101,4.507786|3.000000,0.01893782615661621,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,49937457152.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,102,4.507786|3.000000,0.019311904907226562,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,87064215552.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,103,4.507786|3.000000,0.019161701202392578,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,97149517824.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,104,4.507786|3.000000,0.019865036010742188,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,113353908224.000000,N/A,1,5
