MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,103,4.565099|3.000000,0.019362211227416992,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,70543499264.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,104,4.565099|3.000000,0.019838571548461914,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,107699855360.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,105,4.565099|3.000000,0.019768238067626953,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,109127942144.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,106,4.565099|3.000000,0.019310712814331055,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,96400719872.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,107,4.565099|3.000000,0.018448829650878906,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,43367731200.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,108,4.565099|3.000000,0.018680572509765625,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,109,4.565099|3.000000,0.019609451293945312,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,86277668864.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,110,4.565099|3.000000,0.020552873611450195,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,120947458048.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,111,4.565099|3.000000,0.020304441452026367,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,44999880704.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,112,4.565099|3.000000,0.019854307174682617,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,124092071936.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,113,4.565099|3.000000,0.01832103729248047,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,73109094400.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,114,4.565099|3.000000,0.019333600997924805,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,79647178752.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,115,4.565099|3.000000,0.01898813247680664,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,61182955520.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,116,4.565099|3.000000,0.019539356231689453,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,57024077824.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,117,4.565099|3.000000,0.019237279891967773,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,95319801856.000000,N/A,1,5
MOGP_GENERATIONAL,01fa2570-1430-11f1-9378-303ea725c124,Cooling,74,118,4.565099|3.000000,0.019084930419921875,3.0,4.504544|3.000000,4.565099|3.000000,4.504544|3.000000,3,104765161472.000000,N/A,1,5
