MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,81,4.497596|3.000000|1.000000,0.02637028694152832,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,79464988672.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,82,4.497596|3.000000|1.000000,0.026548147201538086,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,49944858624.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,83,4.497596|3.000000|1.000000,0.02747321128845215,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,111100452864.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,84,4.497596|3.000000|1.000000,0.02720355987548828,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,86868467712.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,85,4.497596|3.000000|1.000000,0.026456594467163086,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,78810644480.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,86,4.497596|3.000000|1.000000,0.026699066162109375,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,96367058944.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,87,4.497596|3.000000|1.000000,0.027837753295898438,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,136573206528.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,88,4.497596|3.000000|1.000000,0.02640366554260254,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,65952751616.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,89,4.497596|3.000000|1.000000,0.027418136596679688,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,105371533312.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,90,4.497596|3.000000|1.000000,0.02615189552307129,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,49937469440.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,91,4.497596|3.000000|1.000000,0.027109861373901367,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,116454457344.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,92,4.497596|3.000000|1.000000,0.026793718338012695,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,108291997696.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,93,4.497596|3.000000|1.000000,0.026912689208984375,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,94794686464.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,94,4.497596|3.000000|1.000000,0.0267336368560791,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,111149809664.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,95,4.497596|3.000000|1.000000,0.02700495719909668,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,134974210048.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,96,4.497596|3.000000|1.000000,0.026835918426513672,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,86127378432.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,97,4.497596|3.000000|1.000000,0.026902198791503906,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,49937338368.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,98,4.497596|3.000000|1.000000,0.026186466217041016,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,67687297024.000000,N/A,2,5
MOGP_GENERATIONAL,e0ef39e2-152e-11f1-9378-303ea725c124,Cooling,74,99,4.497596|3.000000|1.000000,0.026498794555664062,3.0,4.659729|3.000000|1.000000,4.497596|3.000000|1.000000,4.659729|3.000000|1.000000,3,82584502272.000000,N/A,2,5
